Spring_Name,Transect_ID,Transect_Slope_deg,Transect_width_m,Average_dist_to_live_tree,Distance_rank,Distance_range_m,CC_1_PCT,CC_2_PCT,CC_3_PCT,dom_cover_type,Species,Count,Height_m,Area_m2,Notes
Big Joe,BJ_20231002_155_2,3,20,89.6,5,0_10,15,80,5,shrub,PSME,1,1.55,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,5,0_10,15,80,5,shrub,PSME,1,0.45,200,
Big Joe,BJ_20231002_348_1,3,20,50.1,15,10_20,50,50,0,shrub,PSME,1,1.8,200,
Big Joe,BJ_20231002_348_1,3,20,50.1,25,20_30,50,50,0,shrub,PSME,1,1.5,200,
Big Joe,BJ_20231002_348_1,3,20,50.1,25,20_30,50,50,0,shrub,PSME,1,1.5,200,
Big Joe,BJ_20231002_348_1,3,20,50.1,25,20_30,50,50,0,shrub,PSME,1,2.3,200,
Big Joe,BJ_20231002_348_1,3,20,50.1,25,20_30,50,50,0,shrub,PSME,1,1.7,200,
Big Joe,BJ_20231002_348_1,3,20,50.1,25,20_30,50,50,0,shrub,PSME,1,2.65,200,
Big Joe,BJ_20231002_348_1,3,20,50.1,25,20_30,50,50,0,shrub,PSME,1,2.6,200,
Big Joe,BJ_20231002_348_1,3,20,50.1,25,20_30,50,50,0,shrub,PSME,1,2.45,200,
Big Joe,BJ_20231002_348_1,3,20,50.1,35,30_40,50,50,0,shrub,PSME,1,2.6,200,
Big Joe,BJ_20231002_348_1,3,20,50.1,35,30_40,50,50,0,shrub,PSME,1,2.25,200,"Distinct vegetation edge showing edge of water influence. Veg mix in spring area (alder + PSME), little to no ground cover. Transition to upland veg abrupt. Upland area on steep NE facing slope."
Big Joe,BJ_20231002_348_1,3,20,50.1,35,30_40,50,50,0,shrub,PSME,1,2.61,200,"Distinct vegetation edge showing edge of water influence. Veg mix in spring area (alder + PSME), little to no ground cover. Transition to upland veg abrupt. Upland area on steep NE facing slope."
Big Joe,BJ_20231002_348_1,3,20,50.1,35,30_40,50,50,0,shrub,PSME,1,1.45,200,"Distinct vegetation edge showing edge of water influence. Veg mix in spring area (alder + PSME), little to no ground cover. Transition to upland veg abrupt. Upland area on steep NE facing slope."
Big Joe,BJ_20231002_348_1,3,20,50.1,35,30_40,50,50,0,shrub,PSME,1,0.4,200,Distinct vegetation edge right at ~10 meters from spring. PSME clustered along outer edge of riparian zone. 
Big Joe,BJ_20231002_348_1,3,20,50.1,35,30_40,50,50,0,shrub,PSME,1,0.55,200,Distinct vegetation edge right at ~10 meters from spring. PSME clustered along outer edge of riparian zone. 
Big Joe,BJ_20231002_348_1,3,20,50.1,5,0_10,0,25,75,shrub,PSME,1,0.1,200,Distinct vegetation edge right at ~10 meters from spring. PSME clustered along outer edge of riparian zone. 
Bog,Bog_20230622_172_1,13,5,NA,15,10_20,100,0,0,grass/tree,PICO,1,3.9,50,
Bog,Bog_20230622_172_1,13,5,NA,15,10_20,100,0,0,grass/tree,PICO,1,3.4,50,
Bog,Bog_20230622_172_1,13,5,NA,15,10_20,100,0,0,grass/tree,PICO,1,4.1,50,
Bog,Bog_20230622_172_1,13,5,NA,15,10_20,100,0,0,grass/tree,PICO,1,6.3,50,
Bog,Bog_20230622_172_1,13,5,NA,15,10_20,100,0,0,grass/tree,PICO,1,3.2,50,
Bog,Bog_20230622_172_1,13,5,NA,15,10_20,100,0,0,grass/tree,PICO,1,0.24,50,
Bog,Bog_20230622_172_1,13,5,NA,25,20_30,80,20,0,shrub/tree,PICO,1,0.13,50,
Bog,Bog_20230622_172_1,13,5,NA,25,20_30,80,20,0,shrub/tree,PICO,1,4.8,50,
Bog,Bog_20230622_172_1,13,5,NA,25,20_30,80,20,0,shrub/tree,PICO,1,5,50,
Bog,Bog_20230622_172_1,13,5,NA,35,30_40,60,40,0,shrub/tree,PICO,1,0.25,50,
Bog,Bog_20230622_172_1,13,5,NA,35,30_40,60,40,0,shrub/tree,PICO,1,0.1,50,
Bog,Bog_20230622_172_1,13,5,NA,35,30_40,60,40,0,shrub/tree,PICO,1,0.1,50,
Bog,Bog_20230622_172_1,13,5,NA,35,30_40,60,40,0,shrub/tree,PICO,1,0.1,50,
Bog,Bog_20230622_172_1,13,5,NA,35,30_40,60,40,0,shrub/tree,PICO,1,4.3,50,
Bog,Bog_20230622_172_1,13,5,NA,35,30_40,60,40,0,shrub/tree,PICO,1,0.2,50,
Bog,Bog_20230622_172_1,13,5,NA,5,0_10,90,5,5,grass,PICO,1,4.5,50,
Bog,Bog_20230622_172_1,13,5,NA,5,0_10,90,5,5,grass,PICO,1,1.7,50,
Bog,Bog_20230622_172_1,13,5,NA,5,0_10,90,5,5,grass,PICO,1,5,50,
Bog,Bog_20230622_230_4,11,5,NA,5,0_10,55,40,5,grass,PICO,1,1,50,
Bog,Bog_20230622_230_4,11,5,NA,5,0_10,55,40,5,grass,PICO,1,0.3,50,
Bog,Bog_20230622_230_4,11,5,NA,5,0_10,55,40,5,grass,PICO,1,0.2,50,
Bog,Bog_20230622_230_4,11,5,NA,5,0_10,55,40,5,grass,PICO,1,0.2,50,
Bog,Bog_20230622_230_4,11,5,NA,5,0_10,55,40,5,grass,PICO,1,0.1,50,
Bog,Bog_20230622_230_4,11,5,NA,15,10_20,100,0,0,grass,PICO,1,6.2,50,
Bog,Bog_20230622_230_4,11,5,NA,25,20_30,100,0,0,bare,PICO,0,,50,
Bog,Bog_20230622_230_4,11,5,NA,35,30_40,100,0,0,bare,PICO,0,,50,
Bog,Bog_20230622_310_2,13,5,NA,5,0_10,95,0,5,grass,PIEN,1,3,50,
Bog,Bog_20230622_310_2,13,5,NA,5,0_10,95,0,5,grass,PICO,1,4,50,Transect runs through higher severity patch than other 2 transects. 
Bog,Bog_20230622_310_2,13,5,NA,15,10_20,100,0,0,grass,PIEN,0,,50,
Bog,Bog_20230622_310_2,13,5,NA,15,10_20,100,0,0,grass,PICO,0,,50,
Bog,Bog_20230622_310_2,13,5,NA,25,20_30,100,0,0,grass,PICO,1,3.6,50,Transect on eastern arm of spring complex. Initial slope is very steep and then around 12 meters the slope moderates. First conifer found right at slope break. 
Bog,Bog_20230622_310_2,13,5,NA,25,20_30,100,0,0,grass,PIEN,0,,50,Transect on eastern arm of spring complex. Initial slope is very steep and then around 12 meters the slope moderates. First conifer found right at slope break. 
Bog,Bog_20230622_310_2,13,5,NA,35,30_40,100,0,0,grass,PIEN,0,,50,Transect on eastern arm of spring complex. Initial slope is very steep and then around 12 meters the slope moderates. First conifer found right at slope break. 
Bog,Bog_20230622_310_2,13,5,NA,35,30_40,100,0,0,grass,PICO,0,,50,Transect on eastern arm of spring complex. Initial slope is very steep and then around 12 meters the slope moderates. First conifer found right at slope break. 
Bog,Bog_20230622_330_3,8,5,NA,5,0_10,60,30,10,grass/shrub,PICO,1,0.1,50,Transect on eastern arm of spring complex. Initial slope is very steep and then around 12 meters the slope moderates. First conifer found right at slope break. 
Bog,Bog_20230622_330_3,8,5,NA,5,0_10,60,30,10,grass/shrub,PICO,1,0.1,50,Transect on eastern arm of spring complex. Initial slope is very steep and then around 12 meters the slope moderates. First conifer found right at slope break. 
Bog,Bog_20230622_330_3,8,5,NA,5,0_10,60,30,10,grass/shrub,PICO,1,4.4,50,Transect on eastern arm of spring complex. Initial slope is very steep and then around 12 meters the slope moderates. First conifer found right at slope break. 
Bog,Bog_20230622_330_3,8,5,NA,5,0_10,60,30,10,grass/shrub,PICO,1,5,50,Transect on eastern arm of spring complex. Initial slope is very steep and then around 12 meters the slope moderates. First conifer found right at slope break. 
Bog,Bog_20230622_330_3,8,5,NA,5,0_10,60,30,10,grass/shrub,PICO,1,0.1,50,Transect on eastern arm of spring complex. Initial slope is very steep and then around 12 meters the slope moderates. First conifer found right at slope break. 
Bog,Bog_20230622_330_3,8,5,NA,15,10_20,100,0,0,grass,PICO,0,,50,Transect on eastern arm of spring complex. Initial slope is very steep and then around 12 meters the slope moderates. First conifer found right at slope break. 
Bog,Bog_20230622_330_3,8,5,NA,25,20_30,100,0,0,grass,PICO,0,,50,Transect is perpendicular to spring channel. Climbing uphill. Veg is grassy in upper part of the transect and the shrubs are much shorter than on the east facing slope on the opposite side of channel.
Bog,Bog_20230622_330_3,8,5,NA,35,30_40,100,0,0,grass,PICO,1,5.6,50,
Big Slump,BSS_20230622_180_2,19,5,NA,5,0_10,0,60,40,tree,PSME,1,1.7,50,Transect is perpendicular to spring channel. Climbing uphill. Veg is grassy in upper part of the transect and the shrubs are much shorter than on the east facing slope on the opposite side of channel.
Big Slump,BSS_20230622_180_2,19,5,NA,5,0_10,0,60,40,tree,PSME,1,0.6,50,
Big Slump,BSS_20230622_180_2,19,5,NA,5,0_10,0,60,40,tree,PICO,1,3.5,50,Transect is perpendicular to spring channel. Climbing uphill. Veg is grassy in upper part of the transect and the shrubs are much shorter than on the east facing slope on the opposite side of channel.
Big Slump,BSS_20230622_180_2,19,5,NA,5,0_10,0,60,40,tree,PICO,1,4.8,50,
Big Slump,BSS_20230622_180_2,19,5,NA,5,0_10,0,60,40,tree,PICO,1,2,50,
Big Slump,BSS_20230622_180_2,19,5,NA,5,0_10,0,60,40,tree,PICO,1,6.4,50,
Big Slump,BSS_20230622_180_2,19,5,NA,5,0_10,0,60,40,tree,PICO,1,4.9,50,
Big Slump,BSS_20230622_180_2,19,5,NA,5,0_10,0,60,40,tree,PICO,1,5.3,50,
Big Slump,BSS_20230622_180_2,19,5,NA,15,10_20,70,30,0,shrub,PICO,1,4.7,50,
Big Slump,BSS_20230622_180_2,19,5,NA,15,10_20,70,30,0,shrub,PSME,0,,50,
Big Slump,BSS_20230622_180_2,19,5,NA,25,20_30,70,30,0,tree/shrub,PICO,1,3.6,50,
Big Slump,BSS_20230622_180_2,19,5,NA,25,20_30,70,30,0,tree/shrub,PICO,1,4.9,50,
Big Slump,BSS_20230622_180_2,19,5,NA,25,20_30,70,30,0,tree/shrub,PICO,1,4.6,50,
Big Slump,BSS_20230622_180_2,19,5,NA,25,20_30,70,30,0,tree/shrub,PICO,1,4.4,50,
Big Slump,BSS_20230622_180_2,19,5,NA,25,20_30,70,30,0,tree/shrub,PICO,1,2.3,50,
Big Slump,BSS_20230622_180_2,19,5,NA,25,20_30,70,30,0,tree/shrub,PSME,1,0.2,50,
Big Slump,BSS_20230622_180_2,19,5,NA,25,20_30,70,30,0,tree/shrub,PSME,1,1.1,50,
Big Slump,BSS_20230622_180_2,19,5,NA,25,20_30,70,30,0,tree/shrub,PSME,1,0.8,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,3.7,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,3.4,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,0.9,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,4.1,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,4.6,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,2.5,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,4.8,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,1.6,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,1.5,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,3,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,3.4,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,2.7,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,2.9,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,3.7,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PICO,1,4.3,50,
Big Slump,BSS_20230622_180_2,19,5,NA,35,30_40,50,50,0,tree,PSME,1,0.3,50,
Big Slump,BSS_20230622_180_4,17,5,NA,5,0_10,0,50,50,tree,PICO,1,6.3,50,
Big Slump,BSS_20230622_180_4,17,5,NA,5,0_10,0,50,50,tree,PICO,1,4.3,50,
Big Slump,BSS_20230622_180_4,17,5,NA,5,0_10,0,50,50,tree,PICO,1,6.3,50,
Big Slump,BSS_20230622_180_4,17,5,NA,5,0_10,0,50,50,tree,PICO,1,3.6,50,
Big Slump,BSS_20230622_180_4,17,5,NA,5,0_10,0,50,50,tree,PSME,1,3.5,50,
Big Slump,BSS_20230622_180_4,17,5,NA,15,10_20,100,0,0,shrub,PICO,1,4.5,50,
Big Slump,BSS_20230622_180_4,17,5,NA,15,10_20,100,0,0,shrub,PSME,1,0.6,50,
Big Slump,BSS_20230622_180_4,17,5,NA,25,20_30,80,20,0,shrub/tree,PICO,1,4,50,
Big Slump,BSS_20230622_180_4,17,5,NA,25,20_30,80,20,0,shrub/tree,PICO,1,3.5,50,
Big Slump,BSS_20230622_180_4,17,5,NA,25,20_30,80,20,0,shrub/tree,PICO,1,2.6,50,
Big Slump,BSS_20230622_180_4,17,5,NA,25,20_30,80,20,0,shrub/tree,PICO,1,5,50,
Big Slump,BSS_20230622_180_4,17,5,NA,25,20_30,80,20,0,shrub/tree,PICO,1,3.2,50,
Big Slump,BSS_20230622_180_4,17,5,NA,25,20_30,80,20,0,shrub/tree,PICO,1,4.7,50,
Big Slump,BSS_20230622_180_4,17,5,NA,25,20_30,80,20,0,shrub/tree,PSME,1,0.6,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,0.8,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,5.3,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,4.4,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,4.7,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,3.7,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,4.7,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,0.5,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,3.2,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,3.3,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,3.2,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,4.8,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,4.4,50,Suriving seed trees are closer to this transect which probably explains the higher number of trees on this side of the spring.
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,4.9,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,4.9,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,5.1,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,5.3,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,3.4,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,2.5,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PICO,1,3.9,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PSME,1,1.3,50,
Big Slump,BSS_20230622_180_4,17,5,NA,35,30_40,60,40,0,tree,PSME,1,0.6,50,
Big Slump,BSS_20230622_348_1,19,5,NA,5,0_10,0,50,50,tree,PICO,1,2.3,50,
Big Slump,BSS_20230622_348_1,19,5,NA,5,0_10,0,50,50,tree,PICO,1,6.4,50,
Big Slump,BSS_20230622_348_1,19,5,NA,5,0_10,0,50,50,tree,PICO,1,4.3,50,
Big Slump,BSS_20230622_348_1,19,5,NA,5,0_10,0,50,50,tree,PICO,1,4.9,50,
Big Slump,BSS_20230622_348_1,19,5,NA,5,0_10,0,50,50,tree,PICO,1,9,50,
Big Slump,BSS_20230622_348_1,19,5,NA,5,0_10,0,50,50,tree,PICO,1,7.1,50,
Big Slump,BSS_20230622_348_1,19,5,NA,5,0_10,0,50,50,tree,PSME,1,0.3,50,
Big Slump,BSS_20230622_348_1,19,5,NA,15,10_20,50,50,0,shrub,PICO,1,4.6,50,
Big Slump,BSS_20230622_348_1,19,5,NA,15,10_20,50,50,0,shrub,PICO,1,4.4,50,
Big Slump,BSS_20230622_348_1,19,5,NA,15,10_20,50,50,0,shrub,PSME,0,,50,
Big Slump,BSS_20230622_348_1,19,5,NA,25,20_30,100,0,0,shrub,PICO,0,,50,
Big Slump,BSS_20230622_348_1,19,5,NA,25,20_30,100,0,0,shrub,PSME,0,,50,
Big Slump,BSS_20230622_348_1,19,5,NA,35,30_40,100,0,0,shrub,PICO,0,,50,
Big Slump,BSS_20230622_348_1,19,5,NA,35,30_40,100,0,0,shrub,PSME,0,,50,
Big Slump,BSS_20230622_355_3,17,5,NA,5,0_10,60,20,20,shrub,PICO,0,,50,
Big Slump,BSS_20230622_355_3,17,5,NA,5,0_10,60,20,20,shrub,PSME,0,,50,
Big Slump,BSS_20230622_355_3,17,5,NA,15,10_20,100,0,0,shrub,PICO,1,7,50,
Big Slump,BSS_20230622_355_3,17,5,NA,15,10_20,100,0,0,shrub,PICO,1,4.8,50,
Big Slump,BSS_20230622_355_3,17,5,NA,15,10_20,100,0,0,shrub,PICO,1,3.4,50,
Big Slump,BSS_20230622_355_3,17,5,NA,15,10_20,100,0,0,shrub,PICO,1,5.6,50,
Big Slump,BSS_20230622_355_3,17,5,NA,15,10_20,100,0,0,shrub,PSME,0,,50,
Big Slump,BSS_20230622_355_3,17,5,NA,25,20_30,100,0,0,shrub,PICO,1,3.8,50,
Big Slump,BSS_20230622_355_3,17,5,NA,35,30_40,100,0,0,shrub,PICO,0,,50,
Big Slump,BSS_20230622_355_3,17,5,NA,35,30_40,100,0,0,shrub,PSME,0,,50,
Black Talus,BT_20230929_225_1,15,30,124.4,5,0_10,80,0,20,shrub/rock,PIPO,0,,300,
Black Talus,BT_20230929_225_1,15,30,124.4,15,10_20,100,0,0,shrub/bare,PIPO,0,,300,
Black Talus,BT_20230929_225_1,15,30,124.4,25,20_30,100,0,0,bare/shrub,PIPO,1,0.75,300,
Black Talus,BT_20230929_225_1,15,30,124.4,25,20_30,100,0,0,bare/shrub,PIPO,1,0.55,300,
Black Talus,BT_20230929_225_1,15,30,124.4,25,20_30,100,0,0,bare/shrub,PIPO,1,0.45,300,
Black Talus,BT_20230929_225_1,15,30,124.4,25,20_30,100,0,0,bare/shrub,PIPO,1,0.5,300,
Black Talus,BT_20230929_225_1,15,30,124.4,35,30_40,100,0,0,bare/shrub,PIPO,0,,300,
Black Talus,BT_20230929_55_2,15,30,87,5,0_10,60,30,10,shrub,PIPO,0,,300,
Black Talus,BT_20230929_55_2,15,30,87,15,10_20,100,0,0,bare/shrub,PIPO,0,,300,
Black Talus,BT_20230929_55_2,15,30,87,25,20_30,100,0,0,bare/shrub,PIPO,0,,300,
Black Talus,BT_20230929_55_2,15,30,87,35,30_40,100,0,0,bare/shrub,PIPO,0,,300,
Calf,Calf_20230622_100_1,18,5,NA,5,0_10,95,0,5,herbaceous,PICO,0,,50,
Calf,Calf_20230622_100_1,18,5,NA,15,10_20,100,0,0,grass,PICO,1,6.3,50,
Calf,Calf_20230622_100_1,18,5,NA,15,10_20,100,0,0,grass,PICO,1,5.4,50,
Calf,Calf_20230622_100_1,18,5,NA,15,10_20,100,0,0,grass,PICO,1,4,50,
Calf,Calf_20230622_100_1,18,5,NA,15,10_20,100,0,0,grass,PICO,1,3.4,50,
Calf,Calf_20230622_100_1,18,5,NA,15,10_20,100,0,0,grass,PICO,1,2.4,50,
Calf,Calf_20230622_100_1,18,5,NA,25,20_30,100,0,0,grass,PICO,0,,50,
Calf,Calf_20230622_100_1,18,5,NA,35,30_40,100,0,0,grass,PICO,1,1.4,50,
Calf,Calf_20230622_100_1,18,5,NA,35,30_40,100,0,0,grass,PICO,1,1.7,50,
Calf,Calf_20230622_267_2,23,5,NA,5,0_10,95,0,5,herbaceous,PICO,0,,50,
Calf,Calf_20230622_267_2,23,5,NA,15,10_20,100,0,0,grass,PICO,0,,50,
Calf,Calf_20230622_267_2,23,5,NA,25,20_30,100,0,0,grass,PICO,0,,50, 
Calf,Calf_20230622_267_2,23,5,NA,35,30_40,100,0,0,shrub,PICO,0,,50,
Cave,Cave_20230629_167_1,32,5,427.9,5,0_10,10,70,20,shrub,PSME,0,,50,
Cave,Cave_20230629_167_1,32,5,427.9,15,10_20,100,0,0,shrub/rock,PSME,1,0.33,50,
Cave,Cave_20230629_167_1,32,5,427.9,15,10_20,100,0,0,shrub/rock,PSME,1,0.96,50,
